t_ms,clip_id,ax,ay,az,gx,gy,gz,label
23211,1,0.989014,-0.031738,0.022217,0.854492,0.183105,0.549316,circulos
23220,1,0.989014,-0.03894,0.028564,1.159668,0.12207,0.244141,circulos
23230,1,0.990356,-0.046509,0.03064,1.281738,0.305176,0.0,circulos
23239,1,0.991211,-0.049072,0.034302,0.488281,0.732422,0.0,circulos
23249,1,0.993164,-0.050049,0.0271,0.183105,0.793457,0.244141,circulos
23259,1,0.990112,-0.045776,0.020752,0.427246,0.488281,0.549316,circulos
23269,1,0.981079,-0.040894,0.025146,0.488281,0.12207,0.549316,circulos
23279,1,0.976318,-0.042725,0.029175,0.488281,0.12207,0.793457,circulos
23289,1,0.973389,-0.034912,0.027588,0.12207,0.12207,0.915527,circulos
23299,1,0.975586,-0.025635,0.02478,-0.12207,0.183105,0.915527,circulos
23309,1,0.975586,-0.030029,0.028931,0.671387,0.183105,0.610352,circulos
23319,1,0.97937,-0.0271,0.037109,0.976562,0.061035,0.671387,circulos
23329,1,0.978516,-0.032227,0.034668,0.915527,0.305176,0.549316,circulos
23339,1,0.979004,-0.034546,0.028687,0.305176,0.793457,0.244141,circulos
23349,1,0.977661,-0.034058,0.025269,0.610352,0.793457,-0.061035,circulos
23359,1,0.97583,-0.044678,0.028931,1.098633,0.793457,-0.366211,circulos
23380,1,0.97937,-0.043701,0.031738,1.464844,0.854492,0.671387,circulos
23390,1,0.980957,-0.041382,0.031738,1.525879,0.732422,0.976562,circulos
23399,1,0.982666,-0.038574,0.033936,1.037598,0.671387,0.854492,circulos
23409,1,0.983276,-0.040649,0.034058,0.427246,0.793457,0.549316,circulos
23419,1,0.983032,-0.04541,0.012573,0.366211,0.976562,0.488281,circulos
23429,1,0.978394,-0.038818,0.013184,0.854492,0.671387,0.732422,circulos
23439,1,0.975952,-0.033691,0.021606,1.464844,0.183105,1.037598,circulos
23449,1,0.970337,-0.036621,0.03125,1.647949,0.061035,1.159668,circulos
23459,1,0.966064,-0.034546,0.037598,1.586914,0.12207,1.220703,circulos
23469,1,0.963379,-0.019531,0.049683,1.525879,0.854492,1.464844,circulos
23479,1,0.962646,-0.030884,0.048828,2.319336,1.342773,1.159668,circulos
23489,1,0.961792,-0.031372,0.047119,1.342773,1.586914,0.610352,circulos
23499,1,0.962646,-0.036255,0.046021,1.037598,1.953125,0.305176,circulos
23509,1,0.970581,-0.050049,0.040039,1.953125,2.502441,0.183105,circulos
23520,1,0.970093,-0.056396,0.030762,1.647949,2.746582,0.671387,circulos
23530,1,0.982788,-0.044067,0.016235,0.793457,2.746582,0.915527,circulos
23539,1,0.986084,-0.054321,0.016968,1.89209,2.197266,1.220703,circulos
23550,1,0.987915,-0.050659,0.024048,1.708984,1.953125,1.647949,circulos
23559,1,0.990112,-0.041626,0.029297,1.037598,2.01416,2.13623,circulos
23569,1,0.991821,-0.036621,0.022339,1.342773,2.197266,2.258301,circulos
23580,1,0.993774,-0.037964,0.012451,0.976562,2.01416,2.441406,circulos
23590,1,0.993408,-0.017578,0.011475,-0.061035,1.586914,2.502441,circulos
23600,1,0.993774,-0.018066,0.017822,0.732422,1.281738,1.953125,circulos
23610,1,0.991943,-0.031494,0.022339,2.380371,0.976562,1.098633,circulos
23620,1,0.991333,-0.034546,0.020752,1.281738,0.793457,0.427246,circulos
23630,1,0.98938,-0.029419,0.0177,0.183105,0.305176,0.12207,circulos
23640,1,0.982666,-0.042847,0.024048,1.77002,-0.12207,0.488281,circulos
23650,1,0.979004,-0.035889,0.034058,1.831055,-0.366211,1.037598,circulos
23660,1,0.973755,-0.034302,0.038086,2.13623,-0.244141,1.281738,circulos
23670,1,0.970825,-0.032593,0.037598,2.563477,0.183105,1.220703,circulos
23680,1,0.970459,-0.037964,0.038818,2.624512,0.549316,0.793457,circulos
23690,1,0.968384,-0.038452,0.039429,1.525879,0.549316,0.244141,circulos
23700,1,0.969604,-0.04248,0.039795,1.708984,0.732422,0.366211,circulos
23710,1,0.971436,-0.042969,0.040405,1.831055,0.915527,0.488281,circulos
23720,1,0.97522,-0.038208,0.036011,1.464844,1.403809,0.732422,circulos
23730,1,0.977417,-0.032837,0.029419,1.464844,1.525879,0.854492,circulos
23740,1,0.980103,-0.03186,0.024902,2.01416,0.915527,0.427246,circulos
23750,1,0.978271,-0.03479,0.031372,1.464844,0.915527,-0.061035,circulos
23760,1,0.97998,-0.041504,0.033691,1.220703,1.098633,-0.427246,circulos
23770,1,0.981812,-0.050537,0.029297,1.159668,1.525879,-0.427246,circulos
23780,1,0.984131,-0.050537,0.024292,1.464844,1.708984,0.061035,circulos
23790,1,0.985962,-0.055298,0.023315,1.647949,1.77002,0.976562,circulos
23811,1,0.987061,-0.039063,0.01062,0.366211,1.403809,1.159668,circulos
23821,1,0.983765,-0.03479,0.016357,0.366211,0.610352,0.915527,circulos
23830,1,0.979736,-0.037476,0.02832,0.915527,0.366211,0.549316,circulos
23840,1,0.980103,-0.036133,0.033936,1.403809,0.671387,0.427246,circulos
23850,1,0.982788,-0.038696,0.024414,1.525879,0.915527,0.854492,circulos
23860,1,0.985474,-0.038208,0.024658,1.159668,0.732422,0.244141,circulos
23870,1,0.986572,-0.040039,0.025635,0.366211,0.854492,-0.061035,circulos
23880,1,0.987305,-0.044312,0.020386,0.183105,0.793457,-0.305176,circulos
23890,1,0.982178,-0.045776,0.021362,0.610352,0.488281,0.0,circulos
23900,1,0.980103,-0.046265,0.025024,1.953125,0.488281,0.915527,circulos
23910,1,0.970703,-0.025024,0.044434,1.89209,0.366211,0.793457,circulos
23921,1,0.964722,-0.023193,0.048584,0.0,0.671387,-0.305176,circulos
23931,1,0.961792,-0.025635,0.057251,-0.244141,1.098633,-1.037598,circulos
